direction,entry_time,exit_time,entry_price,exit_price,size,gross_pnl,entry_fee,exit_fee,total_fees,pnl,pnl_pct,entry_reason,exit_reason
long,2025-01-12 12:00:00+00:00,2025-01-16 12:00:00+00:00,95006.435,99235.145,0.01049928881133157,44.39844758936599,2.5,2.604746118973415,5.104746118973415,39.29370147039258,3.9392181925205585,"Bullish DI crossover: +DI(25.0) > -DI(23.2), ADX=26.6","Bearish DI crossover: -DI(24.1) > +DI(22.0), ADX=34.3"
long,2025-01-16 16:00:00+00:00,2025-01-19 20:00:00+00:00,100360.425,101228.28,0.009978231426597404,8.659658034729649,2.5098234253675984,2.5251980118910033,5.035021437258601,3.6246365974710475,0.36194985501700583,"Bullish DI crossover: +DI(27.6) > -DI(21.3), ADX=31.4","Bearish DI crossover: -DI(37.1) > +DI(13.9), ADX=38.1"
long,2025-01-20 04:00:00+00:00,2025-01-20 16:00:00+00:00,107002.5065,103580.1755,0.009362220914164,-32.04061886339185,2.5107295845169664,2.424351213397194,4.935080797914161,-36.97569966130601,-3.6909959177171756,"Bullish DI crossover: +DI(39.7) > -DI(20.5), ADX=38.2","Bearish DI crossover: -DI(35.0) > +DI(22.4), ADX=31.6"
long,2025-01-28 00:00:00+00:00,2025-01-31 16:00:00+00:00,102660.38,102317.583,0.009722278236073684,-3.3327678124914084,2.5014856596016397,2.486900025921407,4.988385685523047,-8.321153498014455,-0.833705410951786,"Bullish DI crossover: +DI(24.8) > -DI(23.2), ADX=26.1","Bearish DI crossover: -DI(24.0) > +DI(17.9), ADX=26.5"
long,2025-02-03 16:00:00+00:00,2025-02-04 04:00:00+00:00,102020.75,98553.62,0.009775097155427962,-33.891532600499,2.499405371227136,2.4084280262978206,4.907833397524957,-38.79936599802395,-3.8905861334649043,"Bullish DI crossover: +DI(28.0) > -DI(22.5), ADX=52.4","Bearish DI crossover: -DI(30.2) > +DI(22.7), ADX=38.9"
long,2025-02-17 20:00:00+00:00,2025-02-21 16:00:00+00:00,95786.315,95217.6505,0.010370923094403666,-5.897575796017502,2.48970552972763,2.468737326413267,4.958442856140897,-10.856018652158399,-1.0928226841495585,"Bullish DI crossover: +DI(18.9) > -DI(16.7), ADX=26.9","Bearish DI crossover: -DI(29.8) > +DI(12.4), ADX=43.1"
long,2025-03-01 00:00:00+00:00,2025-03-03 12:00:00+00:00,85312.8125,89989.763,0.01163142544973267,54.399601072840014,2.48699152506459,2.616773048934029,5.103764573998619,49.295836498841396,4.967787833531221,"Bullish DI crossover: +DI(23.8) > -DI(23.6), ADX=41.9","Bearish DI crossover: -DI(29.4) > +DI(25.1), ADX=38.7"
long,2025-03-31 12:00:00+00:00,2025-04-02 20:00:00+00:00,83433.565,82486.5785,0.011952346494981135,-11.31871077406944,2.4993154841893004,2.464770418543653,4.964085902732954,-16.282796676802395,-1.6328076421617532,"Bullish DI crossover: +DI(24.7) > -DI(20.0), ADX=47.7","Bearish DI crossover: -DI(31.5) > +DI(20.5), ADX=43.6"
long,2025-04-07 20:00:00+00:00,2025-04-10 12:00:00+00:00,79125.135,78691.485,0.012582634699113245,-5.456459537270385,2.4952447850200996,2.4753655242143737,4.970610309234473,-10.427069846504859,-1.0473123635397912,"Bullish DI crossover: +DI(24.1) > -DI(23.9), ADX=36.6","Bearish DI crossover: -DI(28.5) > +DI(22.3), ADX=28.6"
long,2025-04-16 12:00:00+00:00,2025-04-24 08:00:00+00:00,84839.55,92654.3495,0.011722864737092912,91.61183748600125,2.4926380175584737,2.7154360162295808,5.208074033788055,86.4037634522132,8.687614650386728,"Bullish DI crossover: +DI(27.0) > -DI(16.1), ADX=29.1","Bearish DI crossover: -DI(22.6) > +DI(20.4), ADX=41.9"
long,2025-04-24 12:00:00+00:00,2025-04-28 00:00:00+00:00,93245.2135,93854.7,0.010758529116459038,6.557178256338702,2.5142389584215272,2.5243463066663203,5.038585265087848,1.5185929912508538,0.15137771447929943,"Bullish DI crossover: +DI(27.2) > -DI(20.1), ADX=38.3","Bearish DI crossover: -DI(24.2) > +DI(16.5), ADX=29.4"
long,2025-04-28 04:00:00+00:00,2025-04-29 20:00:00+00:00,94694.7,94272.88,0.01059544857379628,-4.469372117398667,2.51461860666934,2.49715862985917,5.01177723652851,-9.481149353927176,-0.9449655315323481,"Bullish DI crossover: +DI(27.4) > -DI(20.4), ADX=27.5","Bearish DI crossover: -DI(19.0) > +DI(16.6), ADX=27.6"
long,2025-05-01 08:00:00+00:00,2025-05-10 16:00:00+00:00,96212.582,103200.3905,0.010418461479528867,72.80221368357438,2.5122483193308582,2.6879732327414665,5.200221552072325,67.60199213150206,6.7441005096643,"Bullish DI crossover: +DI(27.7) > -DI(15.2), ADX=25.1","Bearish DI crossover: -DI(22.4) > +DI(22.1), ADX=66.4"
long,2025-05-10 20:00:00+00:00,2025-05-12 12:00:00+00:00,104827.785,102508.431,0.00962655443047022,-22.327387524528888,2.5291488173637338,2.4670074765090018,4.996156293872735,-27.323543818401625,-2.707632671715323,"Bullish DI crossover: +DI(23.9) > -DI(15.4), ADX=60.5","Bearish DI crossover: -DI(17.7) > +DI(14.5), ADX=36.2"
long,2025-05-13 16:00:00+00:00,2025-05-23 08:00:00+00:00,104834.305,109078.6115,0.009599957329160948,40.74516129188051,2.522317931409133,2.617875039810311,5.140192971219444,35.60496832066106,3.537837497184139,"Bullish DI crossover: +DI(23.5) > -DI(14.8), ADX=29.0","Bearish DI crossover: -DI(21.7) > +DI(19.9), ADX=52.9"
long,2025-05-25 20:00:00+00:00,2025-05-27 00:00:00+00:00,109069.54,108947.245,0.009259747957332818,-1.1324208764420007,2.531219173489298,2.52206007336447,5.0532792468537675,-6.185700123295769,-0.6124719656906664,"Bullish DI crossover: +DI(22.1) > -DI(18.0), ADX=35.4","Bearish DI crossover: -DI(27.0) > +DI(14.1), ADX=27.2"
long,2025-06-01 20:00:00+00:00,2025-06-02 08:00:00+00:00,105723.562,104067.54,0.009546967653576892,-15.809988467611824,2.529672748458474,2.4838235954182983,5.013496343876772,-20.823484811488594,-2.0630804922495374,"Bullish DI crossover: +DI(24.8) > -DI(17.9), ADX=34.7","Bearish DI crossover: -DI(21.5) > +DI(13.9), ADX=26.2"
long,2025-06-02 20:00:00+00:00,2025-06-11 20:00:00+00:00,105929.76,108722.041,0.009508775286803117,26.551172566609917,2.524466877255602,2.584533641478988,5.1090005187345895,21.442172047875328,2.1287575627465323,"Bullish DI crossover: +DI(24.5) > -DI(16.2), ADX=26.0","Bearish DI crossover: -DI(19.7) > +DI(19.5), ADX=33.6"
long,2025-06-14 20:00:00+00:00,2025-06-17 08:00:00+00:00,105484.61,105652.48,0.009569179245074336,1.6063781198705842,2.529827420267571,2.5275187970165787,5.05734621728415,-3.4509680974135657,-0.34188272217184634,"Bullish DI crossover: +DI(20.0) > -DI(18.8), ADX=39.2","Bearish DI crossover: -DI(19.4) > +DI(19.0), ADX=38.2"
long,2025-06-20 04:00:00+00:00,2025-06-20 12:00:00+00:00,105840.455,104280.14,0.009533754428956714,-14.875660041817618,2.5289646782432174,2.4854531164430655,5.014417794686283,-19.8900778365039,-1.9711552149370637,"Bullish DI crossover: +DI(19.2) > -DI(15.3), ADX=34.1","Bearish DI crossover: -DI(31.9) > +DI(19.7), ADX=32.5"
long,2025-06-23 20:00:00+00:00,2025-06-27 12:00:00+00:00,105475.97,107357.721,0.009547889167123588,17.966749988124015,2.5239921587840914,2.562599053357441,5.086591212141533,12.880158775982482,1.2789698881128955,"Bullish DI crossover: +DI(29.2) > -DI(19.7), ADX=35.2","Bearish DI crossover: -DI(16.5) > +DI(14.5), ADX=28.3"
long,2025-06-27 16:00:00+00:00,2025-07-04 04:00:00+00:00,106900.2465,108761.165,0.00943269730620085,17.553480922009324,2.527212198478087,2.5647778702869153,5.091990068765002,12.461490853244323,1.235820508801883,"Bullish DI crossover: +DI(15.0) > -DI(13.8), ADX=25.1","Bearish DI crossover: -DI(21.3) > +DI(21.2), ADX=33.2"
long,2025-07-06 12:00:00+00:00,2025-07-07 12:00:00+00:00,108958.6,108294.395,0.009265911097475259,-6.154464480498571,2.530327571191398,2.5086155910621732,5.038943162253571,-11.193407642752142,-1.1086965007764318,"Bullish DI crossover: +DI(32.8) > -DI(16.1), ADX=27.2","Bearish DI crossover: -DI(21.3) > +DI(19.0), ADX=33.8"
long,2025-07-08 12:00:00+00:00,2025-07-15 00:00:00+00:00,108273.847,117172.1775,0.0093141990096002,82.88082113019534,2.5275292192807104,2.7284124490579975,5.255941668338708,77.62487946185664,7.697183818717878,"Bullish DI crossover: +DI(19.6) > -DI(14.7), ADX=25.8","Bearish DI crossover: -DI(36.0) > +DI(20.4), ADX=46.6"
long,2025-08-03 16:00:00+00:00,2025-08-05 04:00:00+00:00,114292.309,113987.477,0.008891475280452367,-2.7104061926908103,2.5469354391461745,2.533792085066582,5.080727524212756,-7.791133716903566,-0.766672394574079,"Bullish DI crossover: +DI(21.0) > -DI(16.6), ADX=37.3","Bearish DI crossover: -DI(17.4) > +DI(15.2), ADX=30.4"
long,2025-08-05 08:00:00+00:00,2025-08-05 12:00:00+00:00,114804.66,112939.8345,0.008845024885148933,-16.494427953960358,2.544987655716948,2.497389116692755,5.042376772409703,-21.53680472637006,-2.120912220543674,"Bullish DI crossover: +DI(20.2) > -DI(14.6), ADX=28.4","Bearish DI crossover: -DI(25.6) > +DI(14.8), ADX=28.2"
long,2025-08-12 12:00:00+00:00,2025-08-14 12:00:00+00:00,119892.515,118332.977,0.00845175179084038,-13.180828084383627,2.539603454535356,2.5003023756880585,5.0399058302234145,-18.22073391460704,-1.7981547357100118,"Bullish DI crossover: +DI(25.2) > -DI(22.0), ADX=27.3","Bearish DI crossover: -DI(43.5) > +DI(22.4), ADX=31.3"
long,2025-08-22 12:00:00+00:00,2025-08-23 12:00:00+00:00,116353.755,114769.375,0.008693181067956295,-13.773302220448635,2.5350482710567044,2.4942773948279413,5.029325665884645,-18.802627886333283,-1.8589145305646875,"Bullish DI crossover: +DI(37.3) > -DI(14.2), ADX=50.3","Bearish DI crossover: -DI(25.1) > +DI(21.3), ADX=32.9"
long,2025-08-25 16:00:00+00:00,2025-08-25 20:00:00+00:00,110720.1606540944,110152.061,0.009118562437550331,-5.180252166610563,2.5303476140851213,2.5110711146333817,5.041418728718503,-10.221670895329066,-1.0124388701658105,"Bullish DI crossover: +DI(24.2) > -DI(21.2), ADX=40.3","Bearish DI crossover: -DI(25.9) > +DI(19.2), ADX=36.9"
long,2025-08-31 00:00:00+00:00,2025-08-31 08:00:00+00:00,109226.385,108381.6,0.009233932683464298,-7.800687822000285,2.5277921963612893,2.5019709963153853,5.029763192676675,-12.83045101467696,-1.2721187635623517,"Bullish DI crossover: +DI(27.2) > -DI(20.7), ADX=32.6","Bearish DI crossover: -DI(22.4) > +DI(21.7), ADX=25.3"
long,2025-09-28 12:00:00+00:00,2025-10-07 12:00:00+00:00,110052.145,121928.0325,0.00915301786130057,108.70021040629615,2.5245845836076195,2.7900236481643415,5.314608231771961,103.3856021745242,10.263541438896349,"Bullish DI crossover: +DI(15.7) > -DI(12.0), ADX=30.7","Bearish DI crossover: -DI(29.8) > +DI(15.4), ADX=40.8"
long,2025-10-08 08:00:00+00:00,2025-10-09 00:00:00+00:00,122916.56,122051.2,0.008278965524875974,-7.164285606606677,2.550430984151251,2.526144192674356,5.076575176825607,-12.240860783432286,-1.2028888165148068,"Bullish DI crossover: +DI(22.1) > -DI(21.8), ADX=34.0","Bearish DI crossover: -DI(23.4) > +DI(17.8), ADX=26.2"
long,2025-10-19 08:00:00+00:00,2025-10-20 00:00:00+00:00,107809.2455,110192.9125,0.009427771543148418,22.472667910941972,2.5473707689553926,2.5971840118103593,5.144554780765752,17.32811313017622,1.7048501730533971,"Bullish DI crossover: +DI(16.0) > -DI(13.5), ADX=37.4","Bearish DI crossover: -DI(15.4) > +DI(14.2), ADX=31.0"
long,2025-10-20 04:00:00+00:00,2025-10-20 16:00:00+00:00,111195.5,110835.413,0.009156210602928507,-3.297032407376713,2.5517027972379367,2.5370809592264,5.088783756464337,-8.38581616384105,-0.8236493348733963,"Bullish DI crossover: +DI(21.9) > -DI(13.4), ADX=30.1","Bearish DI crossover: -DI(20.0) > +DI(13.8), ADX=27.9"
long,2025-10-21 12:00:00+00:00,2025-10-21 20:00:00+00:00,113464.7015,108365.71,0.008965721651641534,-45.71613849308604,2.5496063431969764,2.428941981106269,4.978548324303246,-50.69468681738929,-4.983292941077052,"Bullish DI crossover: +DI(34.3) > -DI(20.3), ADX=34.2","Bearish DI crossover: -DI(31.9) > +DI(25.2), ADX=30.7"
