job_id,strategy_name,timeframe,year,total_return_pct,sharpe_ratio,max_drawdown,win_rate,total_trades,profit_factor,final_capital,initial_capital,total_fees,winning_trades,losing_trades,avg_win_pct,avg_loss_pct,has_open_position,total_equity,total_equity_return_pct,unrealized_pnl,open_position_direction,open_position_entry_price,open_position_unrealized_pct,stop_loss_pct,stop_loss_exits,risk_adjusted_return
sma_crossover_12h_2021,sma_crossover,12h,2021,0.18831404901429316,0.1789595997333789,47.55244688725707,30.0,20,1.001640980638139,10018.83140490143,10000.0,1180.886646125126,6,14,18.303756645797247,-6.6103053313523885,False,10018.83140490143,0.18831404901429316,0.0,,0.0,0.0,,0,0.003960133733197163
sma_crossover_12h_2022,sma_crossover,12h,2022,-46.0662685377616,-0.991574083799863,52.86869545752154,27.27272727272727,22,0.3920310595454174,5393.37314622384,10000.0,894.0150302559537,6,16,5.521458288921843,-5.560380935654425,False,5393.37314622384,-46.0662685377616,0.0,,0.0,0.0,,0,-0.8713335583393487
sma_crossover_12h_2023,sma_crossover,12h,2023,53.667257088864396,0.9111809574734799,26.57827889680362,25.0,24,1.891742043971549,15366.725708886439,10000.0,1560.252824475126,6,18,16.618400492945153,-2.511193799205196,False,15366.725708886439,53.667257088864396,0.0,,0.0,0.0,,0,2.0192149121935272
sma_crossover_12h_2024,sma_crossover,12h,2024,27.024052818276534,0.46823677261798563,38.115730140925486,42.857142857142854,21,1.4090290023804888,12702.405281827654,10000.0,1136.7814063667447,9,12,10.226391344575923,-4.894260045670582,False,12702.405281827654,27.024052818276534,0.0,,0.0,0.0,,0,0.7090000038923658
sma_crossover_12h_2025,sma_crossover,12h,2025,-21.201050643985774,-0.3931359250341152,25.537292893209212,20.0,20,0.5191663013975154,7879.894935601423,10000.0,926.1851382276418,4,16,6.875598833896397,-3.045863872677396,True,8057.266992455414,-19.42733007544586,177.37205685399152,long,89656.003,2.256585903785208,,0,-0.830199611706826
sma_crossover_1d_2021,sma_crossover,1d,2021,-27.073349660483437,-0.6484895744479738,49.15087682168464,25.0,8,0.44136341588826455,7292.665033951656,10000.0,323.360206404008,2,6,16.920304377965763,-9.764023902673197,True,6600.4754308488455,-33.99524569151154,-692.1896031028106,long,50792.37,-9.515374844553103,,0,-0.5508212957970889
sma_crossover_1d_2022,sma_crossover,1d,2022,-56.74127638846718,-1.5963314468760876,57.734554118364876,18.181818181818183,11,0.13619869019315914,4325.872361153282,10000.0,389.24764322466575,2,9,6.587551858198145,-9.9501448351769,False,4325.872361153282,-56.74127638846718,0.0,,0.0,0.0,,0,-0.9827957841700601
sma_crossover_1d_2023,sma_crossover,1d,2023,37.39240867106748,0.8125039848477528,36.382757030086296,36.36363636363637,11,1.9920189307347598,13739.240867106748,10000.0,627.6615019586308,4,7,19.551577725627507,-4.808349209248827,True,13259.28383746601,32.59283837466009,-479.95702964073786,long,43585.185,-3.5020852616125873,,0,1.027750828232898
sma_crossover_1d_2024,sma_crossover,1d,2024,79.55263835043209,1.295721379221463,25.718453955399973,37.5,8,4.0867083476692025,17955.26383504321,10000.0,505.96439579601815,3,5,32.352665491500936,-4.198400267451077,False,17955.26383504321,79.55263835043209,0.0,,0.0,0.0,,0,3.0932123092775887
sma_crossover_1d_2025,sma_crossover,1d,2025,-9.185601823785927,-0.24261217872642177,31.540508182170385,30.0,10,0.7929252366742732,9081.439817621407,10000.0,561.5663520416729,3,7,11.694654863097542,-5.793450150030371,True,9031.10610579702,-9.6889389420298,-50.333711824386555,long,92080.4,-0.5556372391541995,,0,-0.2912318904543992
rsi_4h_2021,rsi,4h,2021,-6.8114245065248324,0.049269846685713506,46.76951762444123,59.09090909090909,22,0.8962911115596406,9318.857549347516,10000.0,996.4505082210885,13,9,5.527463320330117,-7.651388812340335,True,9118.500072672166,-8.814999273278335,-200.3574766753503,long,47973.66,-2.1554104103003837,,0,-0.14563811757094663
rsi_4h_2022,rsi,4h,2022,-28.028927258631008,-0.14115044422563663,54.0862500783297,60.71428571428571,28,0.7444993097781312,7197.107274136899,10000.0,1336.697897624549,17,11,5.193550840763098,-9.553675582599077,True,7066.947862056386,-29.330521379436135,-130.1594120805132,long,16777.49,-1.8130287791427446,,0,-0.5182264848836531
rsi_4h_2023,rsi,4h,2023,-0.1600571525086525,0.02111609311060576,24.701462902621735,68.0,25,0.9946750411269701,9983.994284749135,10000.0,1204.270238346541,17,8,1.888739431782011,-3.8392036610586233,True,9787.821789045338,-2.1217821095466216,-196.17249570379602,long,43162.85,-1.9697943576995212,,0,-0.006479662890397659
rsi_4h_2024,rsi,4h,2024,-13.902457943556378,-0.07580313983749264,38.278290591873954,50.0,24,0.7262068109712974,8609.754205644362,10000.0,1106.5740074929352,12,12,3.4481962935487935,-4.458865912614313,True,8490.146628947477,-15.098533710525231,-119.60757669688408,long,93559.1,-1.3926918492159084,,0,-0.3631943257807785
rsi_4h_2025,rsi,4h,2025,-2.735755192863343,0.03130267913218545,29.585563541763126,56.00000000000001,25,0.9276613233057389,9726.424480713666,10000.0,1300.9428913344552,14,11,2.497430325769859,-3.2898974728657437,False,9726.424480713666,-2.735755192863343,0.0,,0.0,0.0,,0,-0.09246926086101208
rsi_8h_2021,rsi,8h,2021,23.398922776295493,0.30227424611638426,43.49610887152864,71.42857142857143,14,1.34013702430223,12339.89227762955,10000.0,822.8149588866085,10,4,8.797432267083641,-13.291011168485412,True,12074.581893164599,20.745818931646,-265.31038446495074,long,47973.66,-2.1554104103003837,,0,0.5379543914010153
rsi_8h_2022,rsi,8h,2022,-42.7617144105472,-0.4064433856678148,55.52431677690378,41.66666666666667,12,0.3799838385870902,5723.82855894528,10000.0,463.3558405401164,5,7,7.061044399059085,-11.702676896956472,True,5629.890279739402,-43.70109720260598,-93.93827920587798,long,16748.95,-1.6452923514354039,,0,-0.7701439097821481
rsi_8h_2023,rsi,8h,2023,50.06258198625648,0.7451380343811121,19.56568249270805,80.0,15,5.763792320460618,15006.258198625648,10000.0,855.1467211216352,12,3,4.37659367875095,-3.1493094901492285,False,15006.258198625648,50.06258198625648,0.0,,0.0,0.0,,0,2.558693365535005
rsi_8h_2024,rsi,8h,2024,73.07969600188645,0.669535860496714,20.812223441838785,68.75,16,5.202969231511864,17307.969600188644,10000.0,961.772125640384,11,5,7.00232934185214,-3.3065727660405235,True,15710.842294238235,57.10842294238234,-1597.1273059504097,long,101638.238,-9.250825881166067,,0,3.5113834043783343
rsi_8h_2025,rsi,8h,2025,14.3464807364847,0.3888095406393047,28.226966356710033,78.57142857142857,14,1.414472913383028,11434.64807364847,10000.0,906.3995774345858,11,3,3.8941754628852667,-8.754482179178346,True,12238.445279229785,22.38445279229786,803.7972055813153,long,86289.15,7.047105689029749,,0,0.5082544314250864
rsi_12h_2021,rsi,12h,2021,-12.605016343595576,0.03317285993199698,36.62273733533528,66.66666666666666,6,0.7127302702008534,8739.498365640442,10000.0,341.13780918079067,4,2,7.873719325258605,-19.265877798940444,True,8777.886379303962,-12.22113620696038,38.3880136635195,long,47527.22,0.4403482055146483,,0,-0.3441855322877158
rsi_12h_2022,rsi,12h,2022,-16.653362476216916,-0.07077974557878015,38.43903630460018,60.0,10,0.6907619923743032,8334.663752378308,10000.0,464.05921473767734,6,4,7.1335859844717255,-12.948052641597222,True,8220.257224447403,-17.797427755525973,-114.4065279309057,long,16709.07,-1.3760994383353118,,0,-0.4332408946013022
rsi_12h_2023,rsi,12h,2023,136.24334873363057,1.6993569220804852,18.83095596014695,90.0,10,105.56749088054855,23624.33487336306,10000.0,805.9940454013735,9,1,10.539447680102324,-0.8405387901816518,False,23624.33487336306,136.24334873363057,0.0,,0.0,0.0,,0,7.235073409017062
rsi_12h_2024,rsi,12h,2024,30.3758014135701,0.4914562504448403,19.986413453231386,75.0,8,5.121738460989289,13037.58014135701,10000.0,479.48237812805417,6,2,5.829887404772311,-3.318402746132363,True,12481.148117181121,24.811481171811202,-556.4320241758885,long,97805.466,-4.278605267269012,,0,1.519822527671115
rsi_12h_2025,rsi,12h,2025,37.7902924542705,0.3389604895377233,28.848614646555642,80.0,10,5.842050732596466,13779.02924542705,10000.0,624.1149427434555,8,2,5.094791481076035,-3.5355076102708844,True,11442.804397785123,14.428043977851225,-2336.2248476419268,long,110390.792,-16.997424172959168,,0,1.3099517227175566
rsi_1d_2021,rsi,1d,2021,-6.107470083804801,-0.23434927905364036,49.47526254684521,50.0,2,0.7703604649798788,9389.25299161952,10000.0,108.7531374638095,1,1,27.9817874225672,-26.66255627905811,True,7428.635973015231,-25.713640269847694,-1960.6170186042887,long,58104.45,-20.93383624312755,,0,-0.12344492518906792
rsi_1d_2022,rsi,1d,2022,-37.10139062362835,-0.47253103048816136,56.0269112135346,50.0,6,0.37741630359260453,6289.860937637165,10000.0,247.26441770358835,3,3,7.96000746309992,-17.857118946244793,False,6289.860937637165,-37.10139062362835,0.0,,0.0,0.0,,0,-0.6622066042910044
rsi_1d_2023,rsi,1d,2023,14.467316271458742,0.5982722171391773,15.100986317992007,66.66666666666666,3,5.669701969126301,11446.731627145873,10000.0,167.28269370016824,2,1,8.452523867637293,-2.641838303000787,False,11446.731627145873,14.467316271458742,0.0,,0.0,0.0,,0,0.9580378371856227
rsi_1d_2024,rsi,1d,2024,47.53208972065026,1.2508092966172153,16.103844698745544,100.0,4,inf,14753.208972065026,10000.0,268.35346510757296,4,0,10.675218982723589,0.0,False,14753.208972065026,47.53208972065026,0.0,,0.0,0.0,,0,2.9515988641118054
rsi_1d_2025,rsi,1d,2025,29.05655588776859,0.20549207329258168,28.72213234949989,100.0,4,inf,12905.655588776859,10000.0,255.8343522264723,4,0,6.701489796147853,0.0,True,10269.11172275068,2.691117227506812,-2636.543866026178,long,115080.2045,-20.480569369046354,,0,1.0116434091382676
macd_4h_2021,macd,4h,2021,-53.4852502311438,-0.3648417455408282,58.00214087325084,31.11111111111111,90,0.658583543565093,4651.47497688562,10000.0,3231.2217820732426,28,62,5.311363396918162,-3.4369206053437025,True,4625.226117727749,-53.74773882272251,-26.248859157870836,long,47208.62,-0.5657269124969145,,0,-0.922125449610945
macd_4h_2022,macd,4h,2022,-65.34047185899536,-0.7097649158451202,66.01438612296782,26.666666666666668,90,0.4266545790637263,3465.952814100464,10000.0,2539.574108767133,24,66,3.806145842318456,-2.8641037290984155,True,3439.721702157127,-65.60278297842873,-26.23111194333716,long,16599.7,-0.7587193331527927,,0,-0.9897914030024132
macd_4h_2023,macd,4h,2023,41.82409314281112,0.42879985638310836,25.928701173938308,33.33333333333333,75,1.371999074679845,14182.409314281113,10000.0,4743.368475787788,25,50,5.211829682518016,-1.7431170950312849,True,14228.888150103245,42.28888150103245,46.47883582213253,long,42176.5345,0.3285430782592354,,0,1.6130423526516529
macd_4h_2024,macd,4h,2024,-1.5452228577278904,0.045098804271631474,43.40583993373156,35.22727272727273,88,0.9883387810128843,9845.47771422721,10000.0,4081.8347185448474,31,57,4.7236053378364575,-2.4610233057204636,False,9845.47771422721,-1.5452228577278904,0.0,,0.0,0.0,,0,-0.03559942302895206
macd_4h_2025,macd,4h,2025,-37.02694292109213,-0.49254226972887216,46.600832989309744,25.64102564102564,78,0.6167397008287486,6297.305707890787,10000.0,3156.5392645260317,20,58,3.8313024893242678,-2.0509173585417684,True,6360.585389717813,-36.394146102821864,63.279681827026685,long,91436.023,1.0073876108847304,,0,-0.7945553876598328
macd_8h_2021,macd,8h,2021,-10.01917380240861,0.03196583598318957,48.09823912282028,30.952380952380953,42,0.9348667564231047,8998.08261975914,10000.0,2469.455869802633,13,29,10.933995739653552,-4.553211094987834,False,8998.08261975914,-10.01917380240861,0.0,,0.0,0.0,,0,-0.20830645747392854
macd_8h_2022,macd,8h,2022,-29.665033626423345,-0.30925120122286376,35.70611332874492,33.33333333333333,39,0.6563153398478677,7033.496637357666,10000.0,1688.2504886487018,13,26,5.060483951512195,-3.7025851886504215,False,7033.496637357666,-29.665033626423345,0.0,,0.0,0.0,,0,-0.8308110533705652
macd_8h_2023,macd,8h,2023,97.98275402501879,1.117421873491364,17.04977722197061,38.88888888888889,36,2.217310626989317,19798.27540250188,10000.0,2790.5031323850585,14,22,9.484721714358542,-2.351531336532523,False,19798.27540250188,97.98275402501879,0.0,,0.0,0.0,,0,5.746864181823835
macd_8h_2024,macd,8h,2024,40.03993401219188,0.5682581018990356,17.78976817291097,36.734693877551024,49,1.4809807012008604,14003.993401219188,10000.0,2931.7984460034286,18,31,6.117463215510137,-2.231242278911111,False,14003.993401219188,40.03993401219188,0.0,,0.0,0.0,,0,2.2507282626179426
macd_8h_2025,macd,8h,2025,-11.577359378396046,-0.13050755519458435,23.578216865926294,33.33333333333333,39,0.7930070930836988,8842.264062160395,10000.0,1854.3673267562367,13,26,3.746328203545877,-2.2629494702118853,True,8806.66595682524,-11.933340431747597,-35.59810533515511,long,92728.15,-0.40359938804571777,,0,-0.4910192931140138
macd_12h_2021,macd,12h,2021,-10.763576760320614,0.0393196487941331,46.81384998752293,37.03703703703704,27,0.9203172185453635,8923.642323967939,10000.0,1715.2273565717203,10,17,11.413694068533546,-6.2858207171082086,False,8923.642323967939,-10.763576760320614,0.0,,0.0,0.0,,0,-0.2299229130522138
macd_12h_2022,macd,12h,2022,-38.18364868971277,-0.5097068864469005,47.99517938229352,30.0,30,0.5067834631496508,6181.635131028724,10000.0,1211.0929941869424,9,21,5.304865455590944,-4.344102341709304,False,6181.635131028724,-38.18364868971277,0.0,,0.0,0.0,,0,-0.7955725800203918
macd_12h_2023,macd,12h,2023,104.12802587258057,1.4857549872124023,14.087766197812948,36.36363636363637,22,3.1446518032119815,20412.80258725806,10000.0,1773.6133312036923,8,14,13.866964153467908,-2.083851921531162,False,20412.80258725806,104.12802587258057,0.0,,0.0,0.0,,0,7.391379471412997
macd_12h_2024,macd,12h,2024,56.07659345271034,0.8367684812760877,16.495512404631498,34.61538461538461,26,1.8223562916148333,15607.659345271035,10000.0,1771.6069020051236,9,17,11.260050067129427,-2.8837972611671905,False,15607.659345271035,56.07659345271034,0.0,,0.0,0.0,,0,3.3995060036428777
macd_12h_2025,macd,12h,2025,6.325831068728127,0.24710664899857981,25.64674988641001,45.45454545454545,22,1.1727912335849462,10632.583106872813,10000.0,1135.2495208328191,10,12,4.50074558100068,-3.0062508081467954,True,10782.748205651049,7.827482056510493,150.16509877823609,long,90397.4175,1.4158502303353784,,0,0.24665234763645938
macd_1d_2021,macd,1d,2021,-12.626887926948472,-0.08825153874107072,44.70778625038947,25.0,12,0.7890965980611361,8737.311207305152,10000.0,538.9605711824676,3,9,22.960433659747526,-7.7360968728734525,True,8604.41343945853,-13.955865605414697,-132.8977678466211,long,46681.41,-1.5248494851325205,,0,-0.2824315177725552
macd_1d_2022,macd,1d,2022,-40.6372741135834,-0.8752897087443545,40.6372741135834,21.428571428571427,14,0.2815063792654743,5936.27258864166,10000.0,515.9252243408002,3,11,6.918335811639373,-6.238874523623152,False,5936.27258864166,-40.6372741135834,0.0,,0.0,0.0,,0,-1.0
macd_1d_2023,macd,1d,2023,58.014482993456,1.3597760433453963,16.85245543772099,35.714285714285715,14,2.2736781121035587,15801.4482993456,10000.0,927.4739295311948,5,9,18.025926927816165,-3.8054554091198844,False,15801.4482993456,58.014482993456,0.0,,0.0,0.0,,0,3.442494371686734
macd_1d_2024,macd,1d,2024,56.116275868553586,1.1842727046446346,16.155673886218448,53.84615384615385,13,2.6321925400997013,15611.627586855358,10000.0,829.208299726401,7,6,11.159017065547975,-4.557496233363363,False,15611.627586855358,56.116275868553586,0.0,,0.0,0.0,,0,3.4734716894987225
macd_1d_2025,macd,1d,2025,-16.62793170825797,-0.45162573765116476,26.367373978658513,33.33333333333333,15,0.6221716770069785,8337.206829174203,10000.0,706.0265103560853,5,10,6.792181438070895,-4.796103781675127,True,8357.344495453612,-16.426555045463886,20.13766627940852,long,91349.401,0.24214508569365248,,0,-0.6306252462500229
bollinger_4h_2021,bollinger,4h,2021,4.081906179062766,0.11220832686449428,45.337117358594206,57.14285714285714,21,1.0580541920822706,10408.190617906277,10000.0,1010.644124863565,12,9,7.492428735591129,-8.084844070551444,True,9925.415286610281,-0.7458471338971817,-482.7753312959951,long,49225.5,-4.6500425703164625,,0,0.09003453278197872
bollinger_4h_2022,bollinger,4h,2022,-38.84205699887999,-0.24288188643876005,55.2447798588391,63.63636363636363,22,0.500304307436285,6115.794300112001,10000.0,880.8989857320632,14,8,3.6371301757574956,-11.126920318219849,True,6041.955320560254,-39.58044679439746,-73.83897955174717,long,16675.4,-1.2103749082849093,,0,-0.7030900855814579
bollinger_4h_2023,bollinger,4h,2023,3.889280429041153,0.06796859382642066,20.07700884260578,51.85185185185185,27,1.0990539090411355,10388.928042904116,10000.0,1353.6520161819542,14,13,3.2035835402133084,-2.9743785256985995,True,10173.49670713506,1.7349670713506127,-215.43133576905564,long,43210.8025,-2.078859946252023,,0,0.1937181210374148
bollinger_4h_2024,bollinger,4h,2024,10.241711149761157,0.0688074842918471,33.100867463737124,56.52173913043478,23,1.2325723920917642,11024.171114976116,10000.0,1152.7822872154802,13,10,4.4047711189052405,-4.408857011765687,True,10006.893807474593,0.06893807474592784,-1017.2773075015239,long,101638.238,-9.250825881166069,,0,0.30940914648177187
bollinger_4h_2025,bollinger,4h,2025,39.57551151485794,0.4507182479880475,28.982834215330417,70.37037037037037,27,2.099894102534321,13957.551151485794,10000.0,1842.757576626368,19,8,3.1784203946883722,-3.0812500559660996,False,13957.551151485794,39.57551151485794,0.0,,0.0,0.0,,0,1.365481071341344
bollinger_8h_2021,bollinger,8h,2021,-19.147482253462645,-0.04074697861450814,46.18624286422883,71.42857142857143,7,0.5886463987738563,8085.251774653736,10000.0,348.75330574678054,5,2,5.885585158924528,-21.71294363957329,True,7977.079560791359,-20.22920439208641,-108.1722138623775,long,47578.77,-1.341248549708166,,0,-0.4145711161167504
bollinger_8h_2022,bollinger,8h,2022,-42.2833948778724,-0.4083454658471287,54.96281342308597,50.0,10,0.29467955725802397,5771.660512212761,10000.0,365.83695450953326,5,5,5.452412152350243,-14.459126537294186,True,5724.978789906126,-42.75021210093875,-46.68172230663585,long,16608.4,-0.8108363096784945,,0,-0.7693091427541835
bollinger_8h_2023,bollinger,8h,2023,43.86831517725469,0.7051757438298952,19.433856825980854,84.61538461538461,13,6.43202826963075,14386.83151772547,10000.0,823.5089856884326,11,2,4.036047593563317,-3.253266489487083,True,14335.864174245195,43.358641742451944,-50.96734348027499,long,42465.195,-0.3551517310832532,,0,2.257313901716501
bollinger_8h_2024,bollinger,8h,2024,47.155002180152024,0.5362534466160437,23.698602717267484,72.72727272727273,11,2.9913482824058595,14715.500218015202,10000.0,765.1356208740896,8,3,7.460058981465261,-5.690173403955701,True,13898.762382440756,38.98762382440757,-816.7378355744468,long,97680.837,-5.564097621132745,,0,1.98977985085144
bollinger_8h_2025,bollinger,8h,2025,15.312199781848502,0.39730388222744795,18.858892660103816,57.14285714285714,14,1.8837794574254754,11531.21997818485,10000.0,822.5677907581074,8,6,3.7344869707567203,-2.4453651987555296,True,12341.805694134307,23.418056941343067,810.5857159494566,long,86289.15,7.047105689029749,,0,0.8119352529240288
bollinger_12h_2021,bollinger,12h,2021,-8.54288850799232,0.07280875860503119,43.792990201101006,66.66666666666666,6,0.83621227126689,9145.711149200768,10000.0,292.6760383307565,4,2,11.812144537127304,-23.229482998442354,False,9145.711149200768,-8.54288850799232,0.0,,0.0,0.0,,0,-0.19507433652652342
bollinger_12h_2022,bollinger,12h,2022,-17.816480052009354,-0.14013235329230464,32.03545829057472,28.57142857142857,7,0.3620152402823632,8218.351994799064,10000.0,348.17461067378446,2,5,5.154864308826305,-5.632744155069201,True,8160.5887786361245,-18.394112213638756,-57.76321616293954,long,16596.36,-0.7046179838111938,,0,-0.5561487490020148
bollinger_12h_2023,bollinger,12h,2023,43.288093897411926,0.8973126853210893,18.83095596014695,90.0,10,45.48695183662937,14328.809389741193,10000.0,643.9641348264466,9,1,4.2199576740727975,-0.8405387901816519,True,14380.762413015607,43.807624130156064,51.95302327441487,long,42134.32,0.36348610645966306,,0,2.2987730409982925
bollinger_12h_2024,bollinger,12h,2024,80.32412201924461,0.9530519372264625,28.810925282969347,87.5,8,12.808076523402349,18032.41220192446,10000.0,623.1862173730088,7,1,9.71474779122009,-4.364078339214501,True,17262.80530298298,72.6280530298298,-769.6068989414822,long,97805.466,-4.278605267269013,,0,2.787974396182466
bollinger_12h_2025,bollinger,12h,2025,11.341433749704311,0.10820833409014373,25.530338074983394,87.5,8,1.6809069466165454,11134.143374970432,10000.0,427.0717062011274,7,1,4.299987193476186,-16.698108973907313,True,9998.51637887314,-0.014836211268598465,-1135.6269960972909,long,102086.414,-10.225063039911918,,0,0.4442335904990435
bollinger_1d_2021,bollinger,1d,2021,1.277842309622912,-0.10631413832351344,49.4752625468452,50.0,2,1.072746392092486,10127.784230962292,10000.0,116.97117206247489,1,1,22.916172435190564,-17.60973823002912,True,8012.950799410268,-19.870492005897322,-2114.8334315520237,long,58104.45,-20.93383624312755,,0,0.025827903559137225
bollinger_1d_2022,bollinger,1d,2022,-19.277388491971948,-0.22717072819563422,33.80378348723655,60.0,5,0.4062338324187439,8072.261150802806,10000.0,217.49264577680583,3,2,5.5229662370995145,-16.418501044751267,False,8072.261150802806,-19.277388491971948,0.0,,0.0,0.0,,0,-0.5702731026913186
bollinger_1d_2023,bollinger,1d,2023,25.079034792066746,0.7708847824610856,18.579587202596024,66.66666666666666,3,3.4042022739824946,12507.903479206674,10000.0,185.64841145906692,2,1,16.615077010058403,-7.717104578131571,False,12507.903479206674,25.079034792066746,0.0,,0.0,0.0,,0,1.3498165765794081
bollinger_1d_2024,bollinger,1d,2024,36.78680054622805,1.0703545262907337,12.797295138383133,75.0,4,27.90106769718223,13678.680054622806,10000.0,219.41580922267775,3,1,11.65500654585752,-1.370912056594478,False,13678.680054622806,36.78680054622805,0.0,,0.0,0.0,,0,2.874576240403553
bollinger_1d_2025,bollinger,1d,2025,28.37231879604896,0.4543503272325193,22.50717690459902,80.0,5,9.639461897315739,12837.231879604897,10000.0,305.96820393738875,4,1,7.438315993076635,-3.2922683961714583,True,11315.584587785072,13.155845877850725,-1521.647291819825,long,103883.799,-11.883098774618585,,0,1.2605898516864404
stochastic_4h_2021,stochastic,4h,2021,66.3680257652225,0.36898167826724654,34.93554530078361,70.73170731707317,41,1.685740842364628,16636.80257652225,10000.0,2690.5832944247218,29,12,4.664565439707365,-6.215526114621741,True,15691.608566665358,56.91608566665358,-945.1940098568899,long,49769.81,-5.695583107339141,,0,1.8997277756455644
stochastic_4h_2022,stochastic,4h,2022,-50.15230022237599,-0.41729805240797807,58.113212056640066,53.65853658536586,41,0.5531203139259132,4984.769977762401,10000.0,1511.613099904374,22,19,3.9665117560805823,-7.345418923322351,True,4917.037794150686,-50.82962205849314,-67.73218361171524,long,16701.0,-1.362187999863139,,0,-0.8630102940015608
stochastic_4h_2023,stochastic,4h,2023,27.81690522163096,0.35069995972312484,17.92375506253921,66.66666666666666,27,1.9308152870164426,12781.690522163097,10000.0,1592.0176219465332,18,9,2.852805476188732,-2.754966514817901,False,12781.690522163097,27.81690522163096,0.0,,0.0,0.0,,0,1.551957451135254
stochastic_4h_2024,stochastic,4h,2024,-32.89715284503875,-0.3660563655847186,41.262146811420116,51.85185185185185,27,0.4348268796300313,6710.2847154961255,10000.0,1148.4523868482554,14,13,2.248570818405944,-5.211575827946553,True,6426.739464798559,-35.7326053520144,-283.5452506975665,long,96329.815,-4.2361226456932695,,0,-0.7972719644323937
stochastic_4h_2025,stochastic,4h,2025,-25.92822524815116,-0.2445601437412867,36.29080395945156,48.484848484848484,33,0.5322641546332475,7407.177475184884,10000.0,1579.6194222700547,16,17,1.9510227339189803,-3.4623222396450903,True,7627.43621421363,-23.725637857863703,220.25873902874508,long,89687.8895,2.9810378741882735,,0,-0.7144571742505701
stochastic_8h_2021,stochastic,8h,2021,10.917182979384666,0.2081798351068554,35.254541621176735,71.42857142857143,14,1.1371451912843924,11091.718297938467,10000.0,900.9889989052733,10,4,7.788586128337807,-14.104783668674049,True,10853.243927190697,8.532439271906966,-238.47437074777088,long,47973.66,-2.1554104103003837,,0,0.3096674209154069
